[26.1.2021 | 10:17:8] [bart.bruk]: ja nie wiem co o tym myśleć 

[26.1.2021 | 10:33:41] [👑 _PRYMEK_ 👑]: @everyone 

[26.1.2021 | 10:33:46] [👑 _PRYMEK_ 👑]: Mam dla was smutne wieści 

[26.1.2021 | 10:33:49] [👑 _PRYMEK_ 👑]: Hacker 

[26.1.2021 | 10:33:54] [👑 _PRYMEK_ 👑]: Chce powrócić 

[26.1.2021 | 10:33:59] [👑 _PRYMEK_ 👑]: Napisał to szyfrem 

[26.1.2021 | 10:34:6] [Kokichi✔]: kurde serio?? 

[26.1.2021 | 10:34:23] [👑 _PRYMEK_ 👑]: Niestety 

[26.1.2021 | 11:24:21] [👑 _PRYMEK_ 👑]: !delete 50 

[26.1.2021 | 12:20:53] [👑 _PRYMEK_ 👑]: !delete 30 

[26.1.2021 | 12:21:33] [👑 _PRYMEK_ 👑]: @everyone 

[26.1.2021 | 12:21:41] [👑 _PRYMEK_ 👑]: Przywitajmy nowego pomocnika 

[26.1.2021 | 12:21:48] [👑 _PRYMEK_ 👑]: Mianowicie <@801091172235477042> 

[26.1.2021 | 12:21:59] [bart.bruk]: witak 

[26.1.2021 | 12:22:2] [bart.bruk]: witam 

[26.1.2021 | 12:22:20] [Kokichi✔]: siemska 

[26.1.2021 | 12:24:5] [linda👁🗨]: dzień dobry : ) 

[26.1.2021 | 12:24:17] [👑 _PRYMEK_ 👑]: :) 

[26.1.2021 | 19:20:57] [❤_Nezuko Kamado_❤]: gdzie jest kanał w kategorii walk 

[26.1.2021 | 19:21:2] [❤_Nezuko Kamado_❤]: <@!689129555549618269> 

[26.1.2021 | 21:33:11] [👑 _PRYMEK_ 👑]: Co? 

[27.1.2021 | 11:58:39] [👑 _PRYMEK_ 👑]: @everyone
Ostatecznie hacker który atakował nasz serwer został zlikwidowany i się poddał i przeprosił nasz wszystkich to jest potwierdzone info na 100% wielkie brawa dla nas! 

[27.1.2021 | 11:59:7] [❤_Nezuko Kamado_❤]: udało  sie 

[27.1.2021 | 11:59:10] [👑 _PRYMEK_ 👑]: **SPRAWA ZAWIESZONA** 

[27.1.2021 | 11:59:17] [❤_Nezuko Kamado_❤]: w końcu 

[27.1.2021 | 11:59:33] [bart.bruk]: czemu zawieszona? 

[27.1.2021 | 11:59:44] [Kokichi✔]: nie powinno być zamknięta? 

[27.1.2021 | 12:0:4] [❤_Nezuko Kamado_❤]: inny hacker może być np 

[27.1.2021 | 12:0:47] [👑 _PRYMEK_ 👑]: Ponieważ hacker napisał do nas 

