[17.1.2021 | 13:38:53] [DoctorToxic]: Ey pomóż 

[17.1.2021 | 13:38:56] [DoctorToxic]: Niko 

[17.1.2021 | 13:38:58] [DoctorToxic]: Niko 

[17.1.2021 | 13:39:43] [DoctorToxic]: AAAAAAaaaAAaAaaaAaAaaaaAaaaaAaaaaaAAAAAAAAAaa 

[17.1.2021 | 13:42:26][Grylled]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/800344279360339968/240px-Strong_Europe_Tank_Challenge_2018_42778023551.jpg] 

[17.1.2021 | 13:43:28] [Grylled]: *Slaps T-80* This boi can fit so much battles in it 

[17.1.2021 | 13:52:32] [krasnal ogrodowy niko]: Co się stało 

[17.1.2021 | 14:42:58] [_Zack_]: co to za yaoice 

[17.1.2021 | 14:43:2] [_Zack_]: krzyżem to 

[17.1.2021 | 14:44:15] [krasnal ogrodowy niko]: Ciebie z krzyżem a nie 

[17.1.2021 | 14:44:18] [krasnal ogrodowy niko]: Ni znasz się 

[17.1.2021 | 14:44:29] [krasnal ogrodowy niko]: Poza tym niektórym się to może podobać 

[17.1.2021 | 14:49:20] [_Zack_]: <:ragepepe:787730984346976286> 

[17.1.2021 | 15:2:26] [DoctorToxic]: Okey już po wszystkim myślałem że Yuri przegra z Yurio 

[17.1.2021 | 15:3:12] [DoctorToxic]: Zawstydzające jest oglądanie takich anime w trakcie oglądania zabijanek 

[17.1.2021 | 15:3:17] [_Zack_]: ale gupie imie 

[17.1.2021 | 15:3:46] [DoctorToxic]: Nie zesraj się >:C you want a fight huh? Are you challenging me? Huh 

[17.1.2021 | 15:3:51] [DoctorToxic]: Come on come on 

[17.1.2021 | 15:3:57] [DoctorToxic]: 𝙄 𝙖𝙢 𝙘𝙤𝙢𝙞𝙣𝙜~
            ∧,,∧
         (・ω・｀) /|    
    ／くＴ￣￣二=二] 三二─
    ￣￣￣＼二＼ 

[17.1.2021 | 15:4:15] [_Zack_]: im cum to your photos 

[17.1.2021 | 15:4:26] [DoctorToxic]: 👁️ 👄 👁️ 

[17.1.2021 | 15:4:29] [_Zack_]: chodz mi pomóc zrobić tuppera 

[17.1.2021 | 15:4:46] [DoctorToxic]: Why me 

[17.1.2021 | 15:5:7] [_Zack_]: bo jesteś moderator 

[17.1.2021 | 15:6:27] [DoctorToxic]: Nie wiem czy nie wyszłem z formy z robienia tych tupperów muszę przetestować jest taki kanał piękny 

[18.1.2021 | 10:39:30][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/800660631631298560/IMG_20210118_103903.jpg] 

[18.1.2021 | 10:39:33] [DoctorToxic]: Staph that's too gay 

[18.1.2021 | 11:8:47] [emm]: mrau 

[19.1.2021 | 0:1:47][_Zack_]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/800862535808319508/20210118_165512.jpg] 

[19.1.2021 | 0:1:52] [_Zack_]: Macie książkę dla odmiany 

[19.1.2021 | 0:2:1] [_Zack_]: A nie tylko te anime i mango 

[19.1.2021 | 10:0:13] [krasnal ogrodowy niko]: Jezu to że ktoś czyta mangi nie wyklucza tego, że czyta książki 

[19.1.2021 | 10:0:29] [krasnal ogrodowy niko]: Manga to też jest książka dla twojej wiadomości 

[19.1.2021 | 10:23:28] [_Zack_]: manga to komiks 

[19.1.2021 | 10:23:45] [_Zack_]: a poza tym chodziło żeby pokazać coś innego 

[19.1.2021 | 11:9:20][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801030526814781480/IMG_20210119_110901.jpg] 

[19.1.2021 | 11:9:23] [DoctorToxic]: W końcu przyszły 

[19.1.2021 | 11:12:26] [emm]: omg jakie cudne 

[19.1.2021 | 11:12:36] [emm]: ile kosztowały? 

