[11.1.2021 | 17:38:12] [Invejosa]: Smutne jest to, że go tak traktują. Cichy nic im nie zrobił 

[11.1.2021 | 18:7:0] [Amarisia]: <@!326694425621430283> Ja czekam na tą rozprawkę pięknie napisaną że 3 osoba jest trudniejsza do ogarnięcia w grach niż 1  🙂 

[11.1.2021 | 18:17:43] [💚💙 кιηια 💚💙]: Troche mnie czasu nie było znowu 

[11.1.2021 | 18:17:48] [💚💙 кιηια 💚💙]: Co sie znowu działo? 

[11.1.2021 | 18:18:23] [NoOne]: Dawny użytkownik wszedł i zaczął rozrubę tak w skrócie 

[11.1.2021 | 18:23:57] [💚💙 кιηια 💚💙]: Ufff 

[11.1.2021 | 18:24:8] [💚💙 кιηια 💚💙]: Cichy mnie nie zabił za to, że nie byłam aktywna tyle... 

[11.1.2021 | 18:24:27] [Invejosa]: Cichy nie zabije :) 

[11.1.2021 | 18:24:45] [NoOne]: Pamiętaj, że to nie znaczy, żebyś była aktywna mniej, kto wie do czego jest zdolny 😋 

[11.1.2021 | 19:27:46] [Invejosa]: No właśnie 

[11.1.2021 | 19:28:23] [Invejosa]: Ale Cichy raczej nie degraduje gdy widzi, że dana osoba nie może lub nie ma ochoty, po prostu przekłada termin 

[11.1.2021 | 19:53:32] [FiczetoX]: Co mnie ominęło? 

[11.1.2021 | 21:36:53] [Shibe]: Moze zboostujemy serwer LiveSpeak bedzie bardzo milo cichemu 

[11.1.2021 | 21:52:24] [NoOne]: Wydaje mi się, że ostatnio pisał o tym, że na raziez nie jest to konieczne 

[11.1.2021 | 21:57:0] [Shibe]: Ale było by mu milo 

[11.1.2021 | 21:57:8] [NoOne]: Zapewne tak 

[11.1.2021 | 21:57:30] [NoOne]: Poczekajmy do lutego, zmienię plan ulepszeń😋 

[11.1.2021 | 21:59:40] [Shibe]: Ok 

[11.1.2021 | 22:32:39] [Order]: Kto to ten furr 

[11.1.2021 | 22:32:41] [Order]: Coś 

[11.1.2021 | 22:54:33] [Amarisia]: <@!702858219529306223> 

[11.1.2021 | 23:24:50] [Paweł gra se w gry]: https://skribbl.io/?6anJmfrxEjcW 

[11.1.2021 | 23:39:4][Paweł gra se w gry]: undefined [Image Link:https://cdn.discordapp.com/attachments/478531971740336159/798320104403894292/unknown.png] 

[11.1.2021 | 23:45:28][Paweł gra se w gry]: @everyone [Image Link:https://cdn.discordapp.com/attachments/478531971740336159/798321715872006154/unknown.png] 

[11.1.2021 | 23:46:49][Paweł gra se w gry]: @everyone [Image Link:https://cdn.discordapp.com/attachments/478531971740336159/798322052024500254/unknown.png] 

[11.1.2021 | 23:47:31] [maz131]: https://tenor.com/view/chipmunks-shock-funny-omg-squirrel-gif-7880377 

[11.1.2021 | 23:47:38] [Paweł gra se w gry]: https://tenor.com/view/xd-meme-funny-emoji-gif-15406750 

[11.1.2021 | 23:47:49] [Paweł gra se w gry]: https://tenor.com/view/pokemon-pikachu-dancing-dance-moves-default-dance-gif-16730668 

[12.1.2021 | 0:8:34] [Amarisia]: https://tenor.com/view/brown-and-cony-yes-bubbles-love-gif-14041696 

[12.1.2021 | 0:8:55] [Paweł gra se w gry]: https://tenor.com/view/no-bugs-bunny-nope-gif-14359850 

[12.1.2021 | 0:9:5] [maz131]: https://tenor.com/view/yes-dog-indeed-nod-gif-10818519 

[12.1.2021 | 0:9:17] [Amarisia]: https://i.pinimg.com/originals/a7/a7/3c/a7a73cd39661452525c62d503f36c85b.gif 

[12.1.2021 | 0:9:19] [qnik13]: https://tenor.com/view/helluva-boss-gif-19508675 

[12.1.2021 | 0:9:27] [maz131]: https://tenor.com/view/zajebisty-chomik-chomik-box-dance-music-headset-gif-16626174 

[12.1.2021 | 0:9:37] [Amarisia]: https://i.pinimg.com/originals/17/06/ca/1706ca85cc54ad9f8118da5e2c845b8c.gif 

[12.1.2021 | 0:9:43] [maz131]: https://tenor.com/view/zajebisty-chomik-chomikbox-chomikuj-boxing-self-defense-gif-16722854 

[12.1.2021 | 0:9:58] [qnik13]: https://tenor.com/view/mario-just-posted-gif-14979065 

[12.1.2021 | 0:10:5] [Paweł gra se w gry]: https://tenor.com/view/zajebisty-chomik-chomikbox-chomikuj-cute-hamster-gif-16626042 

[12.1.2021 | 0:10:10] [maz131]: https://tenor.com/view/funny-animal-hungry-cute-famished-gif-13947278 

[12.1.2021 | 0:10:11] [Amarisia]: https://i.pinimg.com/originals/4c/30/96/4c3096c6eb646fd72cd56f4ef10b25ff.gif 

[12.1.2021 | 0:10:21] [Paweł gra se w gry]: https://tenor.com/view/dupa-shake-black-background-gif-16823301 

[12.1.2021 | 0:10:31] [Paweł gra se w gry]: https://tenor.com/view/dupa-dasda-polite-cat-polite-cat-smile-gif-17705073 

[12.1.2021 | 0:10:32] [qnik13]: https://tenor.com/view/amonguinho-among-us-gif-18494318 

[12.1.2021 | 0:10:36] [Amarisia]: https://tenor.com/view/cejrowski-zabije-lewak-kurwa-ogien-gif-15554795 

[12.1.2021 | 0:10:43] [maz131]: https://tenor.com/view/scared-afraid-shocked-ahh-surprised-gif-16303547 

[12.1.2021 | 0:11:6] [Paweł gra se w gry]: https://tenor.com/view/%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A7%E0%B8%87-to-rsaksit-phukkhom-phukkhom-bnk48-khethamhuang-gif-14189479 

[12.1.2021 | 0:11:10] [maz131]: https://tenor.com/view/intense-cat-ok-okay-gif-12487196 

[12.1.2021 | 0:11:19] [qnik13]: https://tenor.com/view/bobobobo-toei-animation-run-silly-late-gif-4990793 

[12.1.2021 | 0:11:20] [Paweł gra se w gry]: https://tenor.com/view/cartoon-kick-get-out-fuck-cairns-gif-13112624 

[12.1.2021 | 0:11:22] [Amarisia]: https://i.pinimg.com/originals/80/3a/1e/803a1e7f5cd4810b798bf78614e02d80.gif 

[12.1.2021 | 0:11:26] [maz131]: https://tenor.com/view/cosmic-ban-ban-hammer-gif-14966695 

[12.1.2021 | 0:11:45] [Amarisia]: https://tenor.com/view/wpierdol-gif-18786898 

[12.1.2021 | 0:11:53] [qnik13]: https://tenor.com/view/sleep-nitez-fridge-ice-bear-gif-16635793 

[12.1.2021 | 0:11:57] [maz131]: https://tenor.com/view/red-button-spam-press-button-click-gif-17367381 

[12.1.2021 | 0:12:7] [maz131]: https://tenor.com/view/dancing-cute-baby-happy-dance-gif-7730100 

[12.1.2021 | 0:12:12] [qnik13]: https://tenor.com/view/thank-you-very-much-gif-19894179 

[12.1.2021 | 0:12:21] [Paweł gra se w gry]: https://tenor.com/view/pop-cat-poping-popping-party-gif-19362900 

[12.1.2021 | 0:12:22] [maz131]: https://tenor.com/view/puffybear-puffy-cute-lol-happy-gif-12628636 

[12.1.2021 | 0:12:31] [qnik13]: https://tenor.com/view/batman-laugh-lego-batman-laughing-gif-19857843 

[12.1.2021 | 0:12:38] [maz131]: https://tenor.com/view/cats-animals-reaction-wow-surprised-gif-4076137 

[12.1.2021 | 0:12:44] [Amarisia]: https://tenor.com/view/pooh-yes-nod-happy-gif-13399839 

[12.1.2021 | 0:12:47] [qnik13]: https://tenor.com/view/mishi-gif-19862675 

[12.1.2021 | 0:12:53] [maz131]: https://tenor.com/view/angry-panda-mascot-mad-%E7%8B%82%E8%BA%81-gif-3456638 

[12.1.2021 | 0:12:58] [Amarisia]: https://i.pinimg.com/originals/41/64/46/4164464fa0a74308331c7ec1339bf1b4.gif 

[12.1.2021 | 0:13:6] [maz131]: https://media.discordapp.net/attachments/691625958213419030/779328568781045770/nieznane.gif 

[12.1.2021 | 0:13:13] [qnik13]: https://tenor.com/view/dogs-bath-dog-relax-gif-19866879 

[12.1.2021 | 0:13:18] [Paweł gra se w gry]: https://tenor.com/view/furret-pokemon-puszysta-id%C4%99-walking-gif-17329640 

[12.1.2021 | 0:13:20] [Amarisia]: https://i.pinimg.com/originals/30/ea/24/30ea24393ac99b419bf85063d21005e2.gif 

[12.1.2021 | 0:13:22] [maz131]: https://tenor.com/view/yep-yes-yeah-yas-nods-gif-4361784 

[12.1.2021 | 0:13:22] [Paweł gra se w gry]: spierdalam 

[12.1.2021 | 0:13:37] [maz131]: https://media.discordapp.net/attachments/496757010596102144/779329123297918976/nieznane.gif 

[12.1.2021 | 0:13:37] [Amarisia]: https://tenor.com/view/cat-gif-19230222 

[12.1.2021 | 0:13:40] [Paweł gra se w gry]: https://tenor.com/view/donald-trump-floss-fortnite-dance-trummote-trummotes-gif-12379000 

[12.1.2021 | 0:13:47] [maz131]: https://tenor.com/view/fortnite-taco-time-tacos-taco-taco-time-emote-gif-19634033 

[12.1.2021 | 0:13:53] [Amarisia]: https://imgur.com/0BX99KV 

[12.1.2021 | 0:14:9] [maz131]: https://tenor.com/view/puppy-dog-wave-hello-hi-gif-13974826 

[12.1.2021 | 0:14:15] [Amarisia]: https://tenor.com/view/teletubbies-tired-sleep-so-done-field-gif-5233661 

[12.1.2021 | 0:14:24] [maz131]: https://tenor.com/view/szablej-ciemnia-szczepan-agh-ic-gif-13926787 

[12.1.2021 | 0:14:42] [Paweł gra se w gry]: https://tenor.com/view/combine-meme-walk-gif-16809753 

[12.1.2021 | 0:14:55] [maz131]: https://tenor.com/view/non-ci-credo-non-ci-posso-credere-ommioddio-oh-mio-dio-unbelievable-gif-13627170 

[12.1.2021 | 0:15:5] [qnik13]: https://tenor.com/view/smg4-mario-panic-panic-like-a-little-girl-panic-button-gif-16586434 

[12.1.2021 | 0:15:36] [maz131]: https://tenor.com/view/stonoga-smh-no-nope-gif-8694186 

[12.1.2021 | 0:15:51] [Paweł gra se w gry]: https://tenor.com/view/ja-nie-jestem-snax-gif-19773711 

[12.1.2021 | 0:16:30] [qnik13]: słuchać mnie? 

[12.1.2021 | 0:16:31] [maz131]: no ta lubję jak tak z dupy 5k pingu na dc mam 🙂 

[12.1.2021 | 0:16:43] [Paweł gra se w gry]: tak 

[12.1.2021 | 0:17:6] [Paweł gra se w gry]: acha 

[12.1.2021 | 0:17:7] [Paweł gra se w gry]: i hui 

[12.1.2021 | 0:17:13] [Paweł gra se w gry]: nie połącze sie 

[12.1.2021 | 0:17:19] [Paweł gra se w gry]: Koxx 

[12.1.2021 | 0:17:23] [qnik13]: https://tenor.com/view/bruh-nostalgic-mario-when-someone-says-save-the-turtle-middle-finger-gif-15482069 

[12.1.2021 | 0:17:26] [Paweł gra se w gry]: Brak trasy 

[12.1.2021 | 0:17:27][maz131]: no ta discord wie lepiej [Image Link:https://cdn.discordapp.com/attachments/478531971740336159/798329761361428520/unknown.png] 

[12.1.2021 | 0:17:49] [Paweł gra se w gry]: no ja tam trasy nie widze 

[12.1.2021 | 0:17:55] [maz131]: <@!215088813255426048> nie kłuć się discord wie lepiej czy mam neta czy nie 🙂 

[12.1.2021 | 0:17:56] [Paweł gra se w gry]: nie wiem jak ty 

[12.1.2021 | 0:18:3] [qnik13]: https://tenor.com/view/smg4baldi-baldi-mario-smg4-middle-finger-gif-17864530 

[12.1.2021 | 0:18:22] [maz131]: https://media.discordapp.net/attachments/691625958213419030/779329071821094912/nieznane.gif 

[12.1.2021 | 0:18:22] [Paweł gra se w gry]: https://tenor.com/view/cringy-cringe-cringe-alert-gif-17398154 

[12.1.2021 | 0:18:34] [maz131]: https://tenor.com/view/japinguinha-japintinho-japones-kabum-kabum-japones-gif-14435874 

[12.1.2021 | 0:18:35] [qnik13]: ja tylko agenta słysze 

[12.1.2021 | 0:18:52] [Paweł gra se w gry]: https://tenor.com/view/umm-confused-blinking-okay-white-guy-blinking-gif-7513882 

[12.1.2021 | 0:18:56] [Paweł gra se w gry]: super 

[12.1.2021 | 0:18:56] [maz131]: <@!214809181935501313> przynajmniej ciebie nie wywala cały czas 

[12.1.2021 | 0:19:8] [maz131]: https://tenor.com/view/gfdarwin-kurwamac-gif-7589809 

[12.1.2021 | 0:19:34] [maz131]: https://tenor.com/view/stonoga-smh-no-nope-gif-8694186 

[12.1.2021 | 0:19:38] [Paweł gra se w gry]: https://tenor.com/view/cat-funny-reaction-shocked-zoom-in-gif-19906284 

[12.1.2021 | 0:19:53] [Paweł gra se w gry]: https://tenor.com/view/usu%C5%84to-usun-to-nie-usun%C4%99-nie-usune-karachan-gif-13336909 

[12.1.2021 | 0:20:2] [qnik13]: https://tenor.com/view/helluva-boss-gif-19508616 

