[11.1.2021 | 22:24:6][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798301235668713503/fab7d0248182e5d326400f73e3121198.jpg] 

[11.1.2021 | 22:24:42] [Deamovsky]: oczywiście że memy star warsowe są najlepsze w większości przypadków 

[11.1.2021 | 22:27:40][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798302133966733312/xkzsb.jpg] 

[11.1.2021 | 22:28:43][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798302397246996521/FB_IMG_1610290630476.jpg] 

[11.1.2021 | 22:29:5][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798302493061939231/23c0b3c2.png] 

[11.1.2021 | 22:29:29][18seba03]: <@355928318224236545> ty zrozumiesz na pewno <:SipTea:798193947553562684> [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798302590026252339/711818_jak-ona-tak-moze.jpg] 

[11.1.2021 | 22:30:53] [Deamovsky]: ten sposób na dole trochę pasuje do Mace'a Windu Idealnie wręcz 

[11.1.2021 | 22:31:5] [18seba03]: Tak xD 

[11.1.2021 | 22:31:51] [Deamovsky]: ciekawe czy przeżył upadek z takiej wysokości 

[11.1.2021 | 22:32:10] [18seba03]: W legendach mówi się że z pomocą mocy przeżył 

[11.1.2021 | 22:32:19] [18seba03]: Tak samo nigdy nie znaleziono jego ciała 

[11.1.2021 | 22:34:7] [Deamovsky]: w sumie według mnie lepiej jakby pojawił się Mace zamiast Luke'a w ostatnim odcinku drugiego sezonu The Mandalorian 

[11.1.2021 | 22:34:15] [Deamovsky]: byłoby ciekawiej według mnie 

[11.1.2021 | 22:34:59] [18seba03]: Przyznaje, a najzabawniej by było gdyby pojawił się zmartwychwstały młody Kenobi mówiąc : Hello There 

[11.1.2021 | 22:35:1] [18seba03]: xD 

[11.1.2021 | 22:35:32] [Deamovsky]: XD 

[11.1.2021 | 22:36:26][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798304341433647155/predator_drone.mp4] 

[11.1.2021 | 22:36:53] [18seba03]: I przerwała nam to tym starym śmiesznym memem xd 

[11.1.2021 | 22:37:8][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798304517450891274/video1-2.mp4] 

[11.1.2021 | 22:37:23] [Deamovsky]: Czy tylko według mnie Ahsoka w The Mandalorian wygląda dziwnie w porównaniu z wojnami klonów albo rebeliantami? 

[11.1.2021 | 22:38:1] [18seba03]: Ta, znaczy może być ale mogło być lepiej 

[11.1.2021 | 22:38:12][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798304784028925982/video0-24-1.mp4] 

[11.1.2021 | 22:38:19] [18seba03]: No lepsza niżeli z rebeliantów bo powiem szczerze tam to się zawiodłem 

[11.1.2021 | 22:38:46] [18seba03]: Ja wiem że to bait, nie złapiesz mnie na to 

[11.1.2021 | 22:39:41] [Kishunia]: :c 

[11.1.2021 | 22:39:43] [18seba03]: Tyle dobrego też że zostawili w miarę charakter Ahsoki 

[11.1.2021 | 22:42:11][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798305789588668446/a7WRvZA_460sv.mp4] 

[11.1.2021 | 22:42:33] [Deamovsky]: Ale komp 

[11.1.2021 | 22:43:59] [18seba03]: Fajnowaty, made in Stalin Russia 

[11.1.2021 | 22:46:6] [Deamovsky]: zagrałbym w Call of Duty Modern Warfare 2 i 3 ale ciągle na steama są za drogie jak na swój wiek a teraz oprócz wersji remaster modern warfare 2 oryginalnego praktycznie nie znajdziesz na torrentach albo po prostu ja nie umiem szukać 

[11.1.2021 | 22:47:59] [Deamovsky]: Modern Warfare 2 ze wszystkimi dodatkami kosztuje 204zł 

[11.1.2021 | 22:48:11] [Deamovsky]: a cena Modern Warfare 3 to już kompletna przesada 

[11.1.2021 | 22:48:43] [Deamovsky]: ze wszystkimi dodatkami 370zł 

[11.1.2021 | 22:50:31] [Deamovsky]: za stronach z kluczami jest nie wiele taniej 

[11.1.2021 | 22:50:32] [18seba03]: Próbowałeś na Igg games? 

[11.1.2021 | 22:50:37] [Deamovsky]: tak 

[11.1.2021 | 22:50:48] [Deamovsky]: ale wolno się pobiera strasznie 

[11.1.2021 | 22:50:59] [Deamovsky]: mało seedów 

[11.1.2021 | 22:51:45] [18seba03]: No niestety, dlatego ja po nocach pobieram 

[11.1.2021 | 22:52:2] [Deamovsky]: no ja właśnie tylko w nocy mogę pobierać 

[11.1.2021 | 22:52:8] [Deamovsky]: bo wtedy mam nielimitowany net 

[11.1.2021 | 22:52:16] [Deamovsky]: od północy do 8 

[11.1.2021 | 22:52:35] [18seba03]: O nie, limitowane internety to zło 

[11.1.2021 | 22:52:42] [18seba03]: Mój znajomy ma 50gb na miesiąc 

[11.1.2021 | 22:53:5] [Deamovsky]: ja mam 250gb na miesiąc 

[11.1.2021 | 22:53:14] [Deamovsky]: no i w nocy nielimitowany 

[11.1.2021 | 22:53:32] [Deamovsky]: dosłownie nielimitowany a nie że ileś tam gb przekroczysz to spowalnia 

