[27.1.2021 | 20:17:59] [👑 _PRYMEK_ 👑]: <:ello:800710143066112010> 

[27.1.2021 | 20:18:34] [❤_Nezuko Kamado_❤]: --Battle <@695590947630743635> <@745537238640623616> 

[27.1.2021 | 20:19:32] [👑 _PRYMEK_ 👑]: <:ff:797818002593546280> 

[27.1.2021 | 20:19:48] [❤_Nezuko Kamado_❤]: --Battle <@581373577404874752> <@689129555549618269> 

[27.1.2021 | 20:20:12] [👑 _PRYMEK_ 👑]: 🅿️ 🇴 🇬 

[27.1.2021 | 20:20:16] [❤_Nezuko Kamado_❤]: --Battle <@801091172235477042> <@745537238640623616> 

[27.1.2021 | 20:21:46] [❤_Nezuko Kamado_❤]: --Battle <@689129555549618269> <@801091172235477042> 

[27.1.2021 | 20:21:55] [👑 _PRYMEK_ 👑]: Zrobię grafiki i rozdam nagrody 

[27.1.2021 | 20:21:57] [👑 _PRYMEK_ 👑]: <@695590947630743635> 

[27.1.2021 | 20:21:59] [👑 _PRYMEK_ 👑]: Jakby co 

[27.1.2021 | 20:22:9] [❤_Nezuko Kamado_❤]: Oki 

[27.1.2021 | 20:38:8] [Free boy]: ey bo czekammm 

[27.1.2021 | 20:46:28] [👑 _PRYMEK_ 👑]: <@695590947630743635> 

[27.1.2021 | 20:46:31] [👑 _PRYMEK_ 👑]: Pomyliłaś 

[27.1.2021 | 20:46:38] [👑 _PRYMEK_ 👑]: Się przez to nie da się zrobić 

[27.1.2021 | 20:46:42] [👑 _PRYMEK_ 👑]: Grafiki 

[27.1.2021 | 20:46:56] [👑 _PRYMEK_ 👑]: Ponieważ 

[27.1.2021 | 20:47:0] [👑 _PRYMEK_ 👑]: Ja włączyłem 

[27.1.2021 | 20:47:2] [👑 _PRYMEK_ 👑]: Dwa razy 

[27.1.2021 | 20:47:19] [👑 _PRYMEK_ 👑]: Pierwszy raz z rekinem 

[27.1.2021 | 20:47:21] [👑 _PRYMEK_ 👑]: Wygrałem 

[27.1.2021 | 20:47:33] [👑 _PRYMEK_ 👑]: I ty dałaś mi walkę z kokichim 

[27.1.2021 | 20:47:43] [👑 _PRYMEK_ 👑]: A kokichimi wogle nie grał w 1/8 

[27.1.2021 | 20:47:56] [👑 _PRYMEK_ 👑]: Dla tego musimy dać tylko nagrody niestety 

[27.1.2021 | 20:48:32] [❤_Nezuko Kamado_❤]: Przepraszam 

[27.1.2021 | 20:48:52] [👑 _PRYMEK_ 👑]: Spoko 

[27.1.2021 | 20:52:37] [Free boy]: ja tu czekammm 

[27.1.2021 | 21:6:37][❤_Nezuko Kamado_❤]: undefined [Image Link:https://cdn.discordapp.com/attachments/782567822647230474/804079943402127380/Screenshot_20210127-205538.jpg] 

[28.1.2021 | 18:27:18] [Kokichi✔]: **pierwsza walka** 

[28.1.2021 | 18:27:20] [👑 _PRYMEK_ 👑]: <@&795694584894193683> 
Zaczynamy **LEGENDARNE** WALKI 

[28.1.2021 | 18:27:30] [Kokichi✔]: **pierwsza walka** 

[28.1.2021 | 18:27:50] [Kokichi✔]: --battle <@!543484925110910986> & <@!581373577404874752> 

[28.1.2021 | 18:28:22] [Kokichi✔]: **druga walka** 

[28.1.2021 | 18:28:44] [Kokichi✔]: --battle <@!607951368413773824> & <@!689129555549618269> 

[28.1.2021 | 18:29:16] [Kokichi✔]: **trzecia walka** 

[28.1.2021 | 18:29:27] [👑 _PRYMEK_ 👑]: Dobra mam w dupie te walki 

[28.1.2021 | 18:29:30] [👑 _PRYMEK_ 👑]: Ustawione sa 

[28.1.2021 | 18:29:38] [Kokichi✔]: --battle <@!695590947630743635> & <@!763675745951678474> 

[28.1.2021 | 18:29:40] [👑 _PRYMEK_ 👑]: Htfuu na tego bota 

[28.1.2021 | 18:29:42] [Kokichi✔]: xD 

[28.1.2021 | 18:30:0] [👑 _PRYMEK_ 👑]: Banujemy go? 

[28.1.2021 | 18:30:10] [Kokichi✔]: **czwarta walka** 

[28.1.2021 | 18:30:17] [Kokichi✔]: po walkach jak już xD 

[28.1.2021 | 18:30:25] [👑 _PRYMEK_ 👑]: XD żartuje 

[28.1.2021 | 18:30:28] [👑 _PRYMEK_ 👑]: Ja spadam naura 

[28.1.2021 | 18:30:35] [👑 _PRYMEK_ 👑]: Dawaj kolejna walkę 

[28.1.2021 | 18:30:58] [👑 _PRYMEK_ 👑]: --battle <@802480296129331240> & <@801091172235477042> 

[28.1.2021 | 18:31:34] [Kokichi✔]: **piąta walka** 

[28.1.2021 | 18:31:51] [Kokichi✔]: --battle <@!498926677028503554> & <@!692757398795845663> 

[28.1.2021 | 18:31:59] [Free boy]: aaaa 

[28.1.2021 | 18:32:3] [Free boy]: już start 

[28.1.2021 | 18:32:18] [👑 _PRYMEK_ 👑]: Jakby co założyłem na rekina 

[28.1.2021 | 18:32:20] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 18:32:24] [👑 _PRYMEK_ 👑]: W następnej rundzie 

